Timestamp,Angulo Canela (S1),Angulo Pe (S2),Dorsiflexao,Peso (kg)
2025-11-18 15:16:33.021523,1.1285001004768498,-7.315662624667257,0.06834902349098648,5.0366674494744075
2025-11-18 15:16:33.099071,1.2278341812135223,-7.210372095131183,0.07430547229038709,5.018528395619796
2025-11-18 15:16:33.129243,1.261397722465931,-7.178018919081028,0.07309510708813427,4.999886595604039
2025-11-18 15:16:33.183584,1.2282361705946117,-7.145019839018325,0.1392557390221576,4.983579431544058
2025-11-18 15:16:33.254547,1.1844544867967557,-7.134957688761822,0.19309957307651615,4.97167774915215
2025-11-18 15:16:33.295204,1.1525006968430906,-7.167239107520627,0.19277194427137623,4.960289818072852
2025-11-18 15:16:33.358574,1.110315047830583,-7.286432462331426,0.11576423847308526,4.951978407314527
2025-11-18 15:16:33.401349,1.1953221920019077,-7.349862471017485,-0.032672914384299645,4.9405092515644355
2025-11-18 15:16:33.453629,1.161508266149106,-7.319350908215821,0.03165257427016677,4.926735435246883
2025-11-18 15:16:33.507207,1.1564828383740566,-7.243556316051651,0.11247259420938605,4.916682700968522
2025-11-18 15:16:33.596242,1.2492647422467962,-7.174166212320584,0.08908079406771385,4.906644213184336
2025-11-18 15:16:33.635481,1.256963158339206,-7.195855204881674,0.05969338541421365,4.899317685232745
2025-11-18 15:16:33.693430,1.167955822324939,-7.232723955272799,0.11183197103735587,4.891268902199954
2025-11-18 15:16:33.724276,1.1205956835202642,-7.320533300104205,0.07138276501062357,4.879991423664251
2025-11-18 15:16:33.790692,1.0880360366651833,-7.300309906563908,0.12416580540600286,4.871760626008836
2025-11-18 15:16:33.847077,1.122561116940693,-7.311363592410046,0.07858703928435418,4.863051867348986
2025-11-18 15:16:33.892102,1.1461273954877325,-7.272650184439405,0.09373416870795559,4.856695833939739
2025-11-18 15:16:33.946301,1.2609932863568547,-7.251440459000793,7.80032774461148e-05,4.84935536032026
2025-11-18 15:16:33.997038,1.402078196593168,-7.054845874144083,0.055587677897841914,4.843997961246714
2025-11-18 15:16:34.047416,1.5621433489926977,-6.818361811548539,0.1320065880938568,4.840087896813202
2025-11-18 15:16:34.101551,1.6590911523704654,-6.761656705298839,0.09176389096578852,4.8399357226935535
2025-11-18 15:16:34.155453,1.6568850345959032,-6.731125940609383,0.1245007734298067,4.839824659356964
2025-11-18 15:16:34.216354,1.0008748010539124,-7.441782692394788,0.0698542551863941,4.839743600470683
2025-11-18 15:16:34.263974,1.61763805225233,-7.6006756943887215,-0.705801998005958,4.836982878026902
2025-11-18 15:16:34.331069,3.0250885635573708,-8.262896587230456,-2.7754734021527323,4.834967981902082
2025-11-18 15:16:34.373144,3.109594452042015,-9.88064179787779,-4.47772450128471,4.830795860361832
2025-11-18 15:16:34.425899,2.440076699019086,-10.214906022828444,-4.142470973212436,4.827750863372785
2025-11-18 15:16:34.479939,2.5298689133873675,-12.079762552929058,-6.097119717681332,4.825528491235673
2025-11-18 15:16:34.536344,3.033279918301911,-13.26843184026756,-7.789200009934378,4.8212049446174206
2025-11-18 15:16:34.586831,1.6986231349786558,-15.697630608591133,-8.883741994934697,4.818049430974497
2025-11-18 15:16:34.669477,2.690001421959479,-17.59048024837117,-11.767969921695554,4.802238588350519
2025-11-18 15:16:34.709115,1.0840973533998908,-19.57385394060565,-12.145439545370449,4.766385084009016
2025-11-18 15:16:34.749607,-0.8522894549161548,-22.43741957832465,-13.072618374773404,4.740217626582307
2025-11-18 15:16:34.804178,0.08517579174215084,-26.100434352446662,-17.673098395553723,4.683297600666265
2025-11-18 15:16:34.860326,-1.062660790632628,-28.826676056599293,-19.25150351733157,4.6417548733315925
2025-11-18 15:16:34.917971,-3.736161048221474,-30.482352335567068,-18.233679538710504,4.549299243113637
2025-11-18 15:16:34.979564,-3.4220229768474697,-31.764340008870903,-19.82980528338834,4.379161715211012
2025-11-18 15:16:35.023975,-3.1701103991459068,-32.14082534968279,-20.458203201901796,4.254987897344108
2025-11-18 15:16:35.073322,-3.0602268102578503,-32.781455483244144,-21.2087169243512,4.015774491195771
2025-11-18 15:16:35.127730,-2.438863796177809,-32.4226306175551,-21.471255072742196,3.841186072681012
2025-11-18 15:16:35.187686,-4.049987473817913,-32.71875455105895,-20.156255328605944,3.5165497652833437
2025-11-18 15:16:35.260222,-4.403375331947769,-32.278309755824786,-19.362422675241923,3.060789441311499
2025-11-18 15:16:35.317466,-1.5923311911719216,-30.274066093484393,-20.16922315367738,2.728155599985257
2025-11-18 15:16:35.344401,-1.4452704293349157,-27.43740210710705,-17.479619929137044,2.271961449792798
2025-11-18 15:16:35.429983,0.9122770687368982,-23.276389853348476,-15.676155173450281,1.939010983094704
2025-11-18 15:16:35.450945,1.3110687098197238,-20.606195005173195,-13.404751966357827,1.4798841837236978
2025-11-18 15:16:35.525223,2.718841602730306,-17.62467366739849,-11.831003521493704,0.931369933859969
2025-11-18 15:16:35.622362,6.527272093603538,-13.126222795621226,-11.14098314058967,0.3257214948753244
2025-11-18 15:16:35.667432,5.159812242188304,-7.659584356864832,-4.306884850418042,-0.11630725610666559
2025-11-18 15:16:35.725395,9.687304272815357,-3.2100258151967296,-4.384818339376993,-0.6604472879207606
2025-11-18 15:16:35.777695,12.96000504751888,2.744411111155146,-1.7030821877286417,-1.2845157279843988
2025-11-18 15:16:35.829149,14.445101641170229,5.759589688508358,-0.17300020402677774,-1.7399882023310056
2025-11-18 15:16:35.884018,12.668814049601716,9.659225597274656,5.502923296308033,-2.188579129500795
